Locus_ID,Assembly_chainid,Assembly_speciestaxid
NZ_CP014069,1558935,35703
NZ_CP011133,981805,35703
NZ_CP022696,2249995,67824
NZ_CP022697,2249995,67824
NZ_CP022698,2249995,67824
NZ_CP007558,648515,546
NZ_CP022274,2215385,546
NZ_CP022275,2215385,546
NZ_CP022276,2215385,546
NZ_CP022277,2215385,546
NZ_CP022152,2211705,546
NZ_CP022153,2211705,546
NZ_CP016763,1702455,546
NZ_CP016764,1702455,546
NZ_CP016765,1702455,546
NZ_CP011610,1022155,546
NZ_CP011603,1022155,546
NZ_CP011604,1022155,546
NZ_CP011605,1022155,546
NZ_CP011606,1022155,546
NZ_CP011607,1022155,546
NZ_CP011609,1022155,546
NZ_CP011611,1022155,546
NZ_CP011608,1022155,546
NZ_CP011654,1022275,546
NZ_CP011655,1022275,546
NZ_CP011653,1022275,546
NZ_CP011651,1022275,546
NZ_CP011652,1022275,546
NZ_CP011656,1022275,546
NZ_CP017058,1718055,546
NZ_CP017059,1718055,546
NZ_CP023528,2393245,545
NZ_CP019987,2025225,67827
NZ_CP012574,1280205,1874630
NZ_CP012575,1280205,1874630
NZ_CP011044,958465,33014
NZ_CP011045,958465,33014
NZ_CP011046,958465,33014
NZ_CP016319,2080065,1496
NZ_CP020425,2073735,1496
NZ_CP020426,2073735,1496
NZ_CP009688,1042715,84022
NZ_CP014175,2074155,29341
NZ_CP006906,789395,1561
NZ_CP014203,1991075,1561
NZ_CP006904,789355,1491
NZ_CP006909,817935,1491
NZ_CP013241,1886775,1491
NZ_CP014146,1879625,1491
NZ_CP014147,1879625,1491
NZ_CP013240,1886875,1492
NZ_CP013238,1886875,1492
NZ_CP013354,1465175,1492
NZ_CP014706,1646605,1492
NZ_CP011804,1038625,217159
NZ_CP018631,2327205,46867
NZ_CP015757,1877035,238834
NZ_CP018336,1902295,1534
NZ_AP017631,2355795,1502
NZ_CP009558,1304735,1502
NZ_CP013041,1579765,1502
NZ_CP013042,1579765,1502
NZ_CP013043,1579765,1502
NZ_CP013044,1579765,1502
NZ_CP013045,1579765,1502
NZ_CP013615,1579785,1502
NZ_CP013040,1579785,1502
NZ_CP013039,1579785,1502
NZ_CP013038,1579785,1502
NZ_CP023411,2312985,1502
NZ_CP023412,2312985,1502
NZ_CP023413,2312985,1502
NZ_CP016088,2003305,36745
NZ_CP017254,1735765,394958
NZ_CP017255,1735765,394958
NZ_CP017256,1735765,394958
NZ_CP014171,1642655,1519
NZ_CP020716,2096055,1619308
NZ_CP020717,2096055,1619308
NZ_CP009963,786695,279058
NZ_AP014570,828915,1458426
NZ_LN879548,1406795,285
NZ_CP010870,1305615,1609966
NZ_CP010871,1305615,1609966
NZ_CP010872,1305615,1609966
NZ_CP008945,732945,191610
NZ_CP004351,550785,160386
NZ_CP004352,550785,160386
NZ_CP009221,1277995,1408191
NZ_CP009222,1277995,1408191
NZ_CP006765,767055,1121358
NZ_CP007157,525655,108486
NZ_CP007725,742735,1718
NZ_CP016336,1687645,1718
NZ_CP007723,742715,1718
NZ_CP010452,828015,1718
NZ_CP014329,1518935,1718
NZ_CP018174,1936195,1718
NZ_CP006843,626675,1404244
NZ_CP007792,835165,349751
NZ_CP007791,835165,349751
NZ_CP011543,1020985,571915
NZ_CP011544,1020985,571915
NZ_CP009250,1941565,161895
NZ_CP015623,1643015,1652495
NZ_CP015624,1643015,1652495
NZ_CP009252,1941345,1705
NZ_CP021253,2156805,43770
NZ_CP021254,2156805,43770
NZ_CP009584,767645,65058
NZ_CP009216,747315,401472
NZ_CP013668,1572745,777
NZ_CP020617,2094935,777
NZ_CP018006,2109345,777
NZ_CP019603,1661675,450378
NZ_CP019604,1661675,450378
NZ_CP011771,1028705,1348774
NZ_CP011772,1028705,1348774
NZ_CP012265,1277255,1163710
NZ_CP012267,1277235,413497
NZ_CP013941,1277215,413503
NZ_CP013942,1277215,413503
